Species 	MARP1	MARP2	MARP3	MARP4	MARP5	ABRP1	ABRP2	ABRP3	ABRP4	ABRP5	MAIP4	MAIP5	JUNP4	JUNP5	SETP4	SETP5	OUTP5	NOVP5	DEZP5	MAIP1	JUNP1	SETP1	OUTP1	OUTP3	OUTP4	NOVP1	DEZP1	MAIP2	MAIP3	JUNP2	JUNP3	SETP2	SETP3	OUTP2	NOVP2	NOVP3	NOVP4	DEZP2	DEZP3	DEZP4
Coelastrum proboscideum	0	0	0	0	0	0	0	0	2406,62	0	7219,86	0	0	0	2406,62	0	2406,62	0	0	0	0	0	0	4813,24	2406,62	0	0	0	0	0	0	0	0	0	0	0	2406,62	0	0	0
Coenocystis subcylindrica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2406,62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12033,1	0	0	0	0	0	0	0
Crucigenia cruficera 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4813,24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crucigenia quadrata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2406,62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7219,86	4813,24	7219,86	0	0	0
Desmodesmus bicaudatus	0	0	0	0	0	0	0	0	0	0	7219,86	0	4813,24	0	16846,34	38505,92	0	0	0	0	0	0	0	0	0	0	0	0	12033,1	0	4813,24	9626,48	7219,86	0	0	0	0	0	0	0
Desmodesmus communis	0	0	0	0	0	0	0	2406,62	2406,62	2406,62	125144,24	4813,24	9626,48	40912,54	0	0	14439,72	21659,58	2406,62	0	0	0	0	0	0	0	0	0	9626,48	9626,48	2406,62	4813,24	0	33692,68	0	2406,62	21659,58	9626,48	4813,24	0
Desmodesmus denticulatus 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2406,62	4813,24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desmodesmus maximus 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2406,62	0	0	0	0	2406,62	0	0	0	0	0	0	0	0	0	0	0
Dictyosphaerium sp.	0	0	0	0	0	0	0	0	0	0	26472,82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dimorphococcus sp.	0	0	0	0	0	0	0	0	0	0	2406,62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2406,62	0	0	0	4813,24	0	0	0	0	0	0	0	0
Eudorina elegans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7219,86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2406,62	0	0	0	0
Lacunastrum gracilimum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2406,62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2406,62	2406,62
Lemmermannia komarekii	0	0	0	0	0	14439,72	12033,1	4813,24	7219,86	4813,24	38505,92	0	0	0	0	4813,24	4813,24	0	0	0	0	0	0	0	0	0	0	0	0	2406,62	4813,24	0	0	0	0	0	0	0	0	0
Monoraphidium caribeum	0	0	0	0	0	0	4813,24	0	0	7219,86	40912,54	2406,62	0	4813,24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oocystis borgei 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2406,62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oocystis lacustris	0	0	0	0	0	0	0	0	0	0	0	0	0	7219,86	0	0	0	0	0	0	4813,24	0	0	2406,62	0	0	0	0	0	0	4813,24	0	0	0	0	0	0	0	0	0
Parapediastrum biradiatum	0	0	0	0	0	0	0	0	0	0	0	0	0	2406,62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pediastrum boryanum var. longicorne	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7219,86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pediastrum duplex	0	0	0	0	0	0	0	0	0	0	9626,48	0	0	2406,62	0	2406,62	2406,62	0	0	0	0	0	0	0	0	0	0	0	9626,48	2406,62	0	0	0	0	0	2406,62	9626,48	2406,62	2406,62	2406,62
Pediastrum simplex	2406,62	0	0	0	0	0	0	0	0	0	2406,62	0	0	0	0	0	0	0	0	0	0	0	0	2406,62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pediastrum tetras var. apiculatum 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12033,1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Radiococcus polycoccus 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2406,62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scenedesmus brasiliensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4813,24	16846,34	0	0	0	0	0	0	0	0	2406,62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stauridium tetras	0	0	0	0	0	0	0	0	0	0	7219,86	0	0	2406,62	0	16846,34	0	0	0	0	0	0	2406,62	0	0	0	0	0	0	0	2406,62	0	0	0	0	0	0	0	0	0
Tetradesmus lagerheimii	0	0	0	0	0	0	0	2406,62	2406,62	0	14439,72	0	0	0	2406,62	4813,24	2406,62	14439,72	0	2406,62	0	0	0	14439,72	0	0	0	2406,62	2406,62	0	0	0	2406,62	0	0	2406,62	14439,72	0	2406,62	4813,24
Tetraspora sp.	0	0	0	0	0	0	0	0	0	0	55352,26	0	0	0	0	0	0	7219,86	0	0	0	0	0	0	0	0	0	0	4813,24	0	0	0	0	0	0	0	0	0	0	0
Tetrastrum heteracanthun	0	0	0	0	0	0	0	0	0	0	0	0	0	7219,86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tetrastrum triangulare	0	0	0	0	0	0	0	0	0	0	4813,24	0	0	2406,62	0	4813,24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2406,62	0	0	0	0	0	0	0
Aphanocapsa delicatissima	9626,48	4813,24	0	0	0	0	0	0	0	0	0	0	0	12033,1	64978,74	7219,86	0	9626,48	0	0	0	0	2406,62	4813,24	7219,86	0	0	0	0	0	0	0	86638,32	0	7219,86	0	16846,34	0	0	0
